/* DATA DESCRIPTION:
Citation:	Schmieder, Frank (2004): Susceptibility versus depth and age of sediment core GeoB6425-2. PANGAEA, https://doi.org/10.1594/PANGAEA.219636
Related to:	Schmieder, Frank (2004): Magnetic signals in Plio-Pleistocene sediments of the South Atlantic: Chronostratigraphic usability and paleooceanographic implications. In: Wefer, G; Mulitza, S & Ratmeyer, V (eds.), The South Atlantic in the Late Quaternary: Reconstruction of Material Budgets and Current Systems, Springer, Berlin, Heidelberg, New York, 261-277, https://doi.org/10.1007/978-3-642-18917-3_13
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261)
Coverage:	LATITUDE: -33.825200 * LONGITUDE: -23.587300
	DATE/TIME START: 2000-03-02T08:02:00 * DATE/TIME END: 2000-03-02T08:02:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 10.71 m
Event(s):	GeoB6425-2 * LATITUDE: -33.825200 * LONGITUDE: -23.587300 * DATE/TIME: 2000-03-02T08:02:00 * ELEVATION: -4352.0 m * Recovery: 10.89 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: geology and geophysics, CTD at 50 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Susceptibility, volume [10**-6 SI] (kappa) * PI: Schmieder, Frank (schmiede@uni-bremen.de) * METHOD/DEVICE: Bartington MS2F spot sensor
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1057 data points
*/
Depth [m]	Age [ka BP]	kappa [10**-6 SI]
0.93	89.09	324.00
0.94	90.18	305.90
0.95	91.27	293.20
0.96	92.36	287.80
0.97	93.45	296.80
0.98	94.54	295.00
0.99	95.63	298.70
1.00	96.72	295.00
1.01	97.82	295.00
1.02	98.91	271.50
1.03	100.00	262.50
1.04	101.25	276.90
1.05	102.50	284.20
1.06	103.75	280.60
1.07	105.00	286.00
1.08	106.25	286.00
1.09	107.50	286.00
1.10	108.75	286.00
1.11	110.00	287.80
1.12	111.00	286.00
1.13	112.00	284.20
1.14	113.00	295.00
1.15	114.00	300.50
1.16	115.00	276.90
1.17	116.00	264.30
1.18	117.00	251.60
1.19	118.00	248.00
1.20	119.00	228.10
1.21	120.00	213.60
1.22	121.00	206.30
1.23	122.00	200.90
1.24	123.10	211.80
1.25	124.19	211.80
1.26	125.29	210.00
1.27	126.39	220.80
1.28	127.48	237.10
1.29	128.58	248.00
1.30	129.68	253.40
1.31	130.77	248.00
1.32	131.87	251.60
1.33	132.97	276.90
1.34	134.06	295.00
1.35	135.16	304.10
1.36	136.26	311.30
1.37	137.35	307.70
1.38	138.45	324.00
1.39	139.55	318.60
1.40	140.65	316.80
1.41	141.74	322.20
1.42	142.84	325.80
1.43	143.94	329.40
1.44	145.03	329.40
1.45	146.13	334.90
1.46	147.23	334.90
1.47	148.32	331.20
1.48	149.42	331.20
1.49	150.52	331.20
1.50	151.61	338.50
1.51	152.71	345.70
1.52	153.81	349.30
1.53	154.90	349.30
1.54	156.00	356.60
1.55	156.70	353.00
1.56	157.41	336.70
1.57	158.11	334.90
1.58	158.81	334.90
1.59	159.51	329.40
1.60	160.22	324.00
1.61	160.92	320.40
1.62	161.62	320.40
1.63	162.32	313.10
1.64	163.03	322.20
1.65	163.73	327.60
1.66	164.43	327.60
1.67	165.13	331.20
1.68	165.84	331.20
1.69	166.54	325.80
1.70	167.24	334.90
1.71	167.94	338.50
1.72	168.65	343.90
1.73	169.35	343.90
1.74	170.05	358.40
1.75	170.76	363.80
1.76	171.46	367.40
1.77	172.16	389.20
1.78	172.86	391.00
1.79	173.57	363.80
1.80	174.27	327.60
1.83	176.38	398.20
1.84	177.08	389.20
1.85	177.78	363.80
1.86	178.48	392.80
1.87	179.19	419.90
1.88	179.89	448.90
1.89	180.59	463.40
1.90	181.29	481.50
1.91	182.00	488.70
1.92	183.10	476.00
1.93	184.20	474.20
1.94	185.31	479.70
1.95	186.41	476.00
1.96	187.51	474.20
1.97	188.62	476.00
1.98	189.72	465.20
1.99	190.82	443.50
2.00	191.93	425.40
2.01	193.03	414.50
2.02	194.14	425.40
2.03	195.24	419.90
2.04	196.34	405.40
2.05	197.45	400.00
2.06	198.55	392.80
2.07	199.65	383.70
2.08	200.76	381.90
2.09	201.86	363.80
2.10	202.97	349.30
2.11	204.07	334.90
2.12	205.17	322.20
2.13	206.28	300.50
2.14	207.38	304.10
2.15	208.48	309.50
2.16	209.59	287.80
2.17	210.69	282.40
2.18	211.79	276.90
2.19	212.90	276.90
2.20	214.00	273.30
2.21	215.50	280.60
2.22	217.00	291.40
2.23	218.50	300.50
2.24	220.00	311.30
2.25	221.50	318.60
2.26	223.00	331.20
2.27	224.50	340.30
2.28	226.00	338.50
2.29	226.83	320.40
2.30	227.65	334.90
2.31	228.47	336.70
2.32	229.30	322.20
2.33	230.12	327.60
2.34	230.94	327.60
2.35	231.76	318.60
2.36	232.59	293.20
2.37	233.41	289.60
2.38	234.23	291.40
2.39	235.06	253.40
2.40	235.88	235.30
2.41	236.70	246.20
2.42	237.53	242.50
2.43	238.35	233.50
2.44	239.17	222.60
2.45	240.00	217.20
2.46	240.85	229.90
2.47	241.70	238.90
2.48	242.55	240.70
2.49	243.40	246.20
2.50	244.25	264.30
2.51	245.10	273.30
2.52	245.95	271.50
2.53	246.80	269.70
2.54	247.65	280.60
2.55	248.50	275.10
2.56	249.35	266.10
2.57	250.20	267.90
2.58	251.05	275.10
2.59	251.90	284.20
2.60	252.75	296.80
2.61	253.60	291.40
2.62	254.45	289.60
2.63	255.30	282.40
2.64	256.15	291.40
2.65	257.00	295.00
2.66	257.85	298.70
2.67	258.70	327.60
2.68	259.55	325.80
2.69	260.40	325.80
2.70	261.25	342.10
2.71	262.10	363.80
2.72	262.95	383.70
2.73	263.80	372.90
2.74	264.65	412.70
2.75	265.50	468.80
2.76	266.35	459.70
2.77	267.20	488.70
2.78	268.05	577.40
2.79	268.90	593.70
2.80	269.75	566.50
2.81	270.60	584.60
2.82	271.45	532.10
2.84	273.15	546.60
2.85	274.00	573.80
2.86	275.00	566.50
2.87	276.00	566.50
2.88	277.00	526.70
2.89	278.00	503.20
2.90	279.00	494.10
2.91	280.00	505.00
2.92	281.00	443.50
2.93	282.00	374.70
2.94	283.00	329.40
2.95	284.00	327.60
2.96	285.00	278.70
2.97	286.00	257.00
2.98	287.00	231.70
2.99	288.00	222.60
3.00	289.00	253.40
3.01	290.00	260.60
3.02	291.00	229.90
3.03	292.00	253.40
3.04	293.00	278.70
3.05	294.00	309.50
3.06	295.00	333.00
3.07	296.00	331.20
3.08	297.00	336.70
3.09	298.00	367.40
3.10	298.75	360.20
3.11	299.50	353.00
3.12	300.25	349.30
3.13	301.00	342.10
3.14	301.75	347.50
3.15	302.50	338.50
3.16	303.25	327.60
3.17	304.00	318.60
3.18	304.75	322.20
3.19	305.50	311.30
3.20	306.25	329.40
3.21	307.00	333.00
3.22	307.75	336.70
3.23	308.50	333.00
3.24	309.25	318.60
3.25	310.00	340.30
3.26	310.75	358.40
3.27	311.50	362.00
3.28	312.25	358.40
3.29	313.00	365.60
3.30	313.75	367.40
3.31	314.50	356.60
3.32	315.25	371.10
3.33	316.00	378.30
3.34	316.75	383.70
3.35	317.50	391.00
3.36	318.25	396.40
3.37	319.00	392.80
3.38	319.75	385.50
3.39	320.50	360.20
3.40	321.25	371.10
3.41	322.00	336.70
3.42	322.75	298.70
3.43	323.50	291.40
3.44	324.25	257.00
3.45	325.00	249.80
3.46	325.75	266.10
3.47	326.50	289.60
3.48	327.25	266.10
3.49	328.00	217.20
3.50	329.77	222.60
3.51	331.55	238.90
3.52	333.33	255.20
3.53	335.11	266.10
3.54	336.89	286.00
3.55	338.66	305.90
3.56	340.44	305.90
3.57	342.22	302.30
3.58	344.00	307.70
3.59	344.70	309.50
3.60	345.39	304.10
3.61	346.09	296.80
3.62	346.78	289.60
3.63	347.48	298.70
3.64	348.17	302.30
3.65	348.87	304.10
3.66	349.57	314.90
3.67	350.26	327.60
3.68	350.96	334.90
3.69	351.65	349.30
3.70	352.35	367.40
3.71	353.04	400.00
3.72	353.74	412.70
3.73	354.43	400.00
3.74	355.13	448.90
3.75	355.83	505.00
3.76	356.52	505.00
3.77	357.22	488.70
3.78	357.91	517.70
3.79	358.61	543.00
3.80	359.30	519.50
3.81	360.00	521.30
3.82	361.02	539.40
3.83	362.04	550.20
3.85	364.09	468.80
3.86	365.11	495.90
3.87	366.13	476.00
3.88	367.15	467.00
3.89	368.17	454.30
3.90	369.19	439.80
3.91	370.21	425.40
3.92	371.23	432.60
3.93	372.26	418.10
3.94	373.28	396.40
3.95	374.30	421.70
3.96	375.32	410.90
3.97	376.34	416.30
3.98	377.36	409.10
3.99	378.38	391.00
4.00	379.41	378.30
4.01	380.43	391.00
4.02	381.45	416.30
4.03	382.47	425.40
4.04	383.49	432.60
4.05	384.51	416.30
4.06	385.53	387.30
4.07	386.55	394.60
4.08	387.58	391.00
4.09	388.60	403.60
4.10	389.62	410.90
4.11	390.64	412.70
4.12	391.66	410.90
4.13	392.68	391.00
4.14	393.70	372.90
4.15	394.72	331.20
4.16	395.75	296.80
4.17	396.77	329.40
4.18	397.79	340.30
4.19	398.81	282.40
4.20	399.83	235.30
4.21	400.85	197.30
4.22	401.87	172.00
4.23	402.90	168.30
4.24	403.92	170.10
4.25	404.94	150.20
4.26	405.96	150.20
4.27	406.98	143.00
4.28	408.00	139.40
4.29	409.27	144.80
4.30	410.53	153.90
4.31	411.79	162.90
4.32	413.06	175.60
4.33	414.32	186.40
4.34	415.58	206.30
4.35	416.84	213.60
4.36	418.11	219.00
4.37	419.37	237.10
4.38	420.63	269.70
4.39	421.90	296.80
4.40	423.16	320.40
4.41	424.42	333.00
4.42	425.69	331.20
4.43	426.95	387.30
4.44	428.21	398.20
4.45	429.48	418.10
4.46	430.74	465.20
4.47	432.00	472.40
4.48	432.86	467.00
4.49	433.72	436.20
4.50	434.57	394.60
4.51	435.43	376.50
4.52	436.29	349.30
4.53	437.14	333.00
4.54	438.00	318.60
4.55	438.86	302.30
4.56	439.71	269.70
4.57	440.57	255.20
4.58	441.43	251.60
4.59	442.28	244.40
4.60	443.14	237.10
4.61	444.00	226.30
4.62	444.89	231.70
4.63	445.79	237.10
4.64	446.69	244.40
4.65	447.58	257.00
4.66	448.48	282.40
4.67	449.38	295.00
4.68	450.27	307.70
4.69	451.17	334.90
4.70	452.07	362.00
4.71	452.97	385.50
4.72	453.86	416.30
4.73	454.76	414.50
4.74	455.66	419.90
4.75	456.55	436.20
4.76	457.45	447.10
4.77	458.35	423.50
4.78	459.24	398.20
4.79	460.14	392.80
4.80	461.04	425.40
4.81	461.93	448.90
4.82	462.83	427.20
4.83	463.73	421.70
4.84	464.62	419.90
4.86	466.42	391.00
4.87	467.31	447.10
4.88	468.21	441.60
4.89	469.11	447.10
4.90	470.00	476.00
4.91	470.83	467.00
4.92	471.65	467.00
4.93	472.47	456.10
4.94	473.30	450.70
4.95	474.12	439.80
4.96	474.94	396.40
4.97	475.77	351.10
4.98	476.59	309.50
4.99	477.41	267.90
5.00	478.24	237.10
5.01	479.06	213.60
5.02	479.88	193.70
5.03	480.70	188.20
5.04	481.53	197.30
5.05	482.35	161.10
5.06	483.17	143.00
5.07	484.00	139.40
5.08	485.00	143.00
5.09	486.00	159.30
5.10	487.00	184.60
5.11	488.00	148.40
5.12	489.00	153.90
5.13	490.00	191.90
5.14	490.55	168.30
5.15	491.09	157.50
5.16	491.64	157.50
5.17	492.18	153.90
5.18	492.73	166.50
5.19	493.27	162.90
5.20	493.82	150.20
5.21	494.36	144.80
5.22	494.91	148.40
5.23	495.46	144.80
5.24	496.00	133.90
5.25	496.55	126.70
5.26	497.09	128.50
5.27	497.64	130.30
5.28	498.18	130.30
5.29	498.73	128.50
5.30	499.27	130.30
5.31	499.82	121.30
5.32	500.36	124.90
5.33	500.91	119.50
5.34	501.45	117.70
5.35	502.00	115.80
5.36	502.50	114.00
5.37	503.00	115.80
5.38	503.50	124.90
5.39	504.00	115.80
5.40	504.50	115.80
5.41	505.00	115.80
5.42	505.50	121.30
5.43	506.00	126.70
5.44	506.50	124.90
5.45	507.00	126.70
5.46	507.50	130.30
5.47	508.00	135.80
5.48	508.50	139.40
5.49	509.00	148.40
5.50	509.50	148.40
5.51	510.00	146.60
5.52	510.50	153.90
5.53	511.00	159.30
5.54	511.50	159.30
5.55	512.00	162.90
5.56	512.50	199.10
5.57	513.00	217.20
5.58	513.50	231.70
5.59	514.00	238.90
5.60	514.92	228.10
5.61	515.85	220.80
5.62	516.77	220.80
5.63	517.69	208.20
5.64	518.62	200.90
5.65	519.54	193.70
5.66	520.46	191.90
5.67	521.38	195.50
5.68	522.31	200.90
5.69	523.23	202.70
5.70	524.15	208.20
5.71	525.07	208.20
5.72	526.00	188.20
5.73	526.54	193.70
5.74	527.08	191.90
5.75	527.62	195.50
5.76	527.62	173.80
5.77	527.62	148.40
5.78	527.62	123.10
5.79	527.62	135.80
5.80	527.62	121.30
5.81	527.62	83.30
5.82	527.62	99.60
5.83	527.62	117.70
5.84	527.62	153.90
5.85	527.62	157.50
5.87	527.62	143.00
5.88	527.62	137.60
5.89	527.62	132.10
5.90	527.62	92.30
5.91	527.62	81.50
5.92	527.62	157.50
5.93	527.62	144.80
5.94	527.62	124.90
5.95	527.62	105.00
5.96	527.62	83.30
5.97	527.62	88.70
5.98	527.62	115.80
5.99	527.62	161.10
6.00	527.62	235.30
6.01	527.62	289.60
6.02	527.62	296.80
6.03	527.62	289.60
6.04	527.62	273.30
6.05	527.62	289.60
6.06	527.62	296.80
6.07	533.74	374.70
6.08	539.87	427.20
6.09	545.99	441.60
6.10	547.78	436.20
6.11	549.55	445.30
6.12	551.33	443.50
6.13	553.11	450.70
6.14	554.89	452.50
6.15	556.67	465.20
6.16	558.44	481.50
6.17	560.22	490.50
6.18	562.00	499.60
6.19	563.17	494.10
6.20	564.33	486.90
6.21	565.50	501.40
6.22	566.67	501.40
6.23	567.83	485.10
6.24	569.00	438.00
6.25	570.17	421.70
6.26	571.34	434.40
6.27	572.50	436.20
6.28	573.67	400.00
6.29	574.84	372.90
6.30	576.01	369.20
6.31	579.34	385.50
6.32	582.66	410.90
6.33	585.99	416.30
6.34	588.49	409.10
6.35	590.99	398.20
6.36	593.49	400.00
6.37	595.99	394.60
6.38	596.88	396.40
6.39	597.77	400.00
6.40	598.66	392.80
6.41	599.55	401.80
6.42	600.44	414.50
6.43	601.33	423.50
6.44	602.22	423.50
6.45	603.11	430.80
6.46	604.00	454.30
6.47	605.20	425.40
6.48	606.40	392.80
6.49	607.60	353.00
6.50	608.80	333.00
6.51	610.00	311.30
6.52	611.20	296.80
6.53	612.40	302.30
6.54	613.60	311.30
6.55	614.80	284.20
6.56	616.00	278.70
6.57	617.11	284.20
6.58	618.22	298.70
6.59	619.33	318.60
6.60	620.45	322.20
6.61	621.56	334.90
6.62	622.67	340.30
6.63	623.78	327.60
6.64	624.89	331.20
6.65	626.00	362.00
6.66	627.11	371.10
6.67	628.22	387.30
6.68	629.34	389.20
6.69	630.45	387.30
6.70	631.56	394.60
6.71	632.67	389.20
6.72	633.78	419.90
6.73	634.89	409.10
6.74	636.00	410.90
6.75	637.11	427.20
6.76	638.22	436.20
6.77	639.34	412.70
6.78	640.45	398.20
6.79	641.56	425.40
6.80	642.67	410.90
6.81	643.78	396.40
6.82	644.89	394.60
6.83	646.00	367.40
6.85	647.72	371.10
6.86	648.57	394.60
6.87	649.43	401.80
6.88	650.29	398.20
6.89	651.14	391.00
6.90	652.00	381.90
6.91	652.86	398.20
6.92	653.72	412.70
6.93	654.57	412.70
6.94	655.43	409.10
6.95	656.29	425.40
6.96	657.14	436.20
6.97	658.00	477.80
6.98	658.86	474.20
6.99	659.72	501.40
7.00	660.57	510.40
7.01	661.43	479.70
7.02	662.29	497.80
7.03	663.14	530.30
7.04	664.00	561.10
7.05	664.86	557.50
7.06	665.72	575.60
7.07	666.57	599.10
7.08	667.43	600.90
7.09	668.29	619.00
7.10	669.14	633.50
7.11	670.00	617.20
7.12	670.86	658.80
7.13	671.72	696.90
7.14	672.57	671.50
7.15	673.43	649.80
7.16	674.29	642.60
7.17	675.14	696.90
7.18	676.00	702.30
7.19	676.58	693.20
7.20	677.17	676.90
7.21	677.75	642.60
7.22	678.33	628.10
7.23	678.92	588.20
7.24	679.50	617.20
7.25	680.08	600.90
7.26	680.67	581.00
7.27	681.25	537.60
7.28	681.83	552.00
7.29	682.42	510.40
7.30	683.00	470.60
7.31	683.58	441.60
7.32	684.17	445.30
7.33	684.75	459.70
7.34	685.33	438.00
7.35	685.92	380.10
7.36	686.50	345.70
7.37	687.08	387.30
7.38	687.67	392.80
7.39	688.25	275.10
7.40	688.83	271.50
7.41	689.42	296.80
7.42	690.00	240.70
7.43	691.67	237.10
7.44	693.33	278.70
7.45	695.00	304.10
7.46	696.67	275.10
7.47	698.33	275.10
7.48	700.00	287.80
7.49	701.67	295.00
7.50	703.33	302.30
7.51	705.00	329.40
7.52	706.67	354.80
7.53	708.33	365.60
7.54	710.00	356.60
7.55	711.67	380.10
7.56	713.33	403.60
7.57	715.00	430.80
7.59	718.33	474.20
7.60	720.00	495.90
7.61	720.92	492.30
7.62	721.85	486.90
7.63	722.77	476.00
7.64	723.69	467.00
7.65	724.62	419.90
7.66	725.54	398.20
7.67	726.46	369.20
7.68	727.38	336.70
7.69	728.31	338.50
7.70	729.23	307.70
7.71	730.15	284.20
7.72	731.08	282.40
7.73	732.00	282.40
7.74	733.20	307.70
7.75	734.40	311.30
7.76	735.60	287.80
7.77	736.80	286.00
7.78	738.00	286.00
7.79	739.20	296.80
7.80	740.40	305.90
7.81	741.60	309.50
7.82	742.80	322.20
7.83	744.00	334.90
7.84	745.20	356.60
7.86	747.60	423.50
7.87	748.80	470.60
7.88	750.00	521.30
7.89	751.20	577.40
7.90	752.40	586.40
7.91	753.60	629.90
7.92	754.80	666.10
7.93	756.00	675.10
7.94	756.78	678.80
7.95	757.55	673.30
7.96	758.33	648.00
7.97	759.11	664.30
7.98	759.89	655.20
7.99	760.67	640.70
8.00	761.44	651.60
8.01	762.22	642.60
8.02	763.00	611.80
8.03	763.78	599.10
8.04	764.55	602.70
8.05	765.33	597.30
8.06	766.11	584.60
8.07	766.89	582.80
8.08	767.66	599.10
8.09	768.44	577.40
8.10	769.22	562.90
8.11	770.00	534.00
8.12	770.78	517.70
8.13	771.55	524.90
8.14	772.33	501.40
8.15	773.11	528.50
8.16	773.89	517.70
8.17	774.66	488.70
8.18	775.44	461.60
8.19	776.22	457.90
8.20	777.00	434.40
8.21	777.78	409.10
8.22	778.55	336.70
8.23	779.33	329.40
8.24	780.11	320.40
8.25	780.89	271.50
8.26	781.66	257.00
8.27	782.44	314.90
8.28	783.22	273.30
8.29	784.00	253.40
8.30	785.05	293.20
8.31	786.11	311.30
8.32	787.17	324.00
8.33	788.23	322.20
8.34	789.29	320.40
8.35	790.35	349.30
8.36	791.41	407.30
8.37	792.47	481.50
8.38	793.53	488.70
8.39	794.59	483.30
8.40	795.65	485.10
8.41	796.71	506.80
8.42	797.77	510.40
8.43	798.83	555.70
8.44	799.88	582.80
8.45	800.94	595.50
8.46	802.00	597.30
8.47	803.20	582.80
8.48	804.40	572.00
8.49	805.60	555.70
8.50	806.80	537.60
8.51	808.00	515.90
8.52	809.20	505.00
8.53	810.40	523.10
8.54	811.60	495.90
8.55	812.80	490.50
8.56	814.00	483.30
8.57	815.20	476.00
8.58	816.40	457.90
8.59	817.60	445.30
8.60	818.80	438.00
8.61	820.00	410.90
8.62	821.00	439.80
8.63	822.00	432.60
8.64	823.00	430.80
8.65	824.00	438.00
8.66	825.00	432.60
8.67	826.00	443.50
8.68	827.00	457.90
8.69	828.00	468.80
8.70	829.00	479.70
8.71	830.00	495.90
8.72	831.00	512.20
8.73	832.00	515.90
8.74	833.40	514.00
8.75	834.80	506.80
8.76	836.20	505.00
8.77	837.60	514.00
8.78	839.00	514.00
8.79	840.40	486.90
8.80	841.80	467.00
8.81	843.20	481.50
8.82	844.60	501.40
8.83	846.00	497.80
8.84	847.40	456.10
8.85	848.80	459.70
8.87	851.60	394.60
8.88	853.00	432.60
8.89	854.40	441.60
8.90	855.80	447.10
8.91	857.20	403.60
8.92	858.60	372.90
8.93	860.00	360.20
8.94	861.11	372.90
8.95	862.22	363.80
8.96	863.33	363.80
8.97	864.44	376.50
8.98	865.55	367.40
8.99	866.66	362.00
9.00	867.78	392.80
9.01	868.89	423.50
9.02	870.00	436.20
9.03	871.11	457.90
9.04	872.22	472.40
9.05	873.33	479.70
9.06	874.44	476.00
9.07	875.55	503.20
9.08	876.66	495.90
9.09	877.77	515.90
9.10	878.89	532.10
9.11	880.00	532.10
9.12	881.11	550.20
9.13	882.22	555.70
9.14	883.33	562.90
9.15	884.44	559.30
9.16	885.55	559.30
9.17	886.66	584.60
9.18	887.77	573.80
9.19	888.88	595.50
9.20	890.00	611.80
9.21	890.85	575.60
9.22	891.71	577.40
9.23	892.57	588.20
9.24	893.43	570.20
9.25	894.28	499.60
9.26	895.14	405.40
9.27	896.00	354.80
9.28	896.86	336.70
9.29	897.71	311.30
9.30	898.57	291.40
9.31	899.43	291.40
9.32	900.28	300.50
9.33	901.14	291.40
9.34	902.00	333.00
9.35	902.86	309.50
9.36	903.71	289.60
9.37	904.57	311.30
9.38	905.43	324.00
9.39	906.29	316.80
9.40	907.14	298.70
9.41	908.00	296.80
9.42	909.07	309.50
9.43	910.13	324.00
9.44	911.20	362.00
9.45	912.27	454.30
9.46	913.34	450.70
9.47	914.40	407.30
9.48	915.47	452.50
9.49	916.54	508.60
9.50	917.60	553.90
9.51	918.67	595.50
9.52	919.74	637.10
9.53	920.80	720.40
9.54	921.87	780.10
9.55	922.94	805.50
9.56	924.00	819.90
9.57	924.91	774.70
9.58	925.82	778.30
9.59	926.73	774.70
9.60	927.64	765.60
9.61	928.55	734.90
9.62	929.46	715.00
9.63	930.37	686.00
9.64	931.28	667.90
9.65	932.19	629.90
9.66	933.09	611.80
9.67	934.00	619.00
9.68	934.91	590.10
9.69	935.82	595.50
9.70	936.73	573.80
9.71	937.64	555.70
9.72	938.55	570.20
9.73	939.46	546.60
9.74	940.37	543.00
9.75	941.28	534.00
9.76	942.18	534.00
9.77	943.09	517.70
9.78	944.00	521.30
9.79	944.91	497.80
9.80	945.82	488.70
9.81	946.73	483.30
9.82	947.64	457.90
9.83	948.55	432.60
9.84	949.46	403.60
9.85	950.37	376.50
9.86	951.28	349.30
9.89	954.00	293.20
9.90	955.72	316.80
9.91	957.43	313.10
9.92	959.15	313.10
9.93	960.86	340.30
9.94	962.57	336.70
9.95	964.29	374.70
9.96	966.00	394.60
9.97	967.00	385.50
9.98	968.00	385.50
9.99	969.00	363.80
10.00	970.00	358.40
10.01	971.00	378.30
10.02	972.00	376.50
10.03	973.00	351.10
10.04	974.00	324.00
10.05	975.00	309.50
10.06	976.00	300.50
10.07	977.43	305.90
10.08	978.86	302.30
10.09	980.29	325.80
10.10	981.71	324.00
10.11	983.14	340.30
10.12	984.57	343.90
10.13	986.00	374.70
10.14	986.86	325.80
10.15	987.71	334.90
10.16	988.57	324.00
10.17	989.43	331.20
10.18	990.28	318.60
10.19	991.14	298.70
10.20	992.00	260.60
